Fajr1,Fajr2,Fajr3,Dhuhr1,Dhuhr2,Dhuhr3,Asr1,Asr2,Asr3,Maghrib1,Maghrib2,Maghrib3,Isha1,Isha2,Isha3
05:31,05:31,05:30,12:21,12:25,12:27,15:51,15:57,16:01,17:27,17:34,17:43,18:57,19:04,19:13
05:27,05:21,05:14,12:28,12:28,12:27,16:04,16:05,"16:06	",17:50,17:56,17:59,19:20,19:26,19:29
05:07,04:57,04:47,12:26,12:24,12:21,16:07,16:07,16:07,18:03,18:10,18:15,19:33,19:40,19:45
04:36,04:26,04:16,12:18,12:15,12:12,16:06,16:04,16:05,18:19,18:24,18:29,19:49,19:54,19:59
04:08,04:02,03:57,12:11,12:10,12:11,16:07,16:08,16:10,18:33,18:39,18:44,20:03,20:09,20:14
03:54,03:55,03:57,12:13,12:15,12:17,16:13,16:16,16:17,18:48,18:51,18:53,20: 18,20:2 1,20:23
04:01,04:06,04: 11,12:19,12:20,12:20,16:19,16:20,16:20,18:53,18:52,18:49,20:23,20:22,20: 19
04:15,04:20,04:24,12:20,12:19,12:17,16:18,16:15,16:10,18:44,18:37,18:29,20:14,20:07,19:59
04:28,04:32,04:36,12:14,12:10,12:06,16:05,16:00,15:54,18:18,18:08,17:57,19:48,19:38,19:27
04:40,04:45,04:51,12:03,12:00,11:58,15:49,15:41,15:38,17:46,17:36,17:26,19:16,19:06,18:56
04:57,05:03,05:12,11:58,11:59,12:02,15:36,15:33,15:34,17:18,17:13,17:10,18:48,18:43,18:40
05:18,05:24,05:29,12:06,12:11,12:17,15:37,15:40,15:46,17:10,17:14,17:20,18:40,18:44,18:50
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
